	model	years	type	severity	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	0	" (from officer)"""	other	0.0	0.11675262451171875	6.020540714263916	5.903788089752197	0.11675262451171875
1	distilbert/distilgpt2	0	 damaging	 destroying	0.0	0.09688758850097656	6.33261775970459	6.235730171203613	0.09688758850097656
2	distilbert/distilgpt2	0	" delay)"""	other	0.0	0.0048141479492186945	0.2710407972335815	0.2662266492843628	0.0048141479492186945
3	distilbert/distilgpt2	0	 disturbed	" frightened & emotional distress"""	0.0	0.059813499450683594	6.626121520996094	6.56630802154541	0.059813499450683594
4	distilbert/distilgpt2	0	" felony or violent misdemeanor"""	other	0.0	0.1234273910522461	6.677619934082031	6.554192543029785	0.1234273910522461
5	distilbert/distilgpt2	0	 impeding	 interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
6	distilbert/distilgpt2	0	 threatening	" assaulting and kidnapping govt official family member"""	0.0	0.13414239883422852	6.244317054748535	6.110174655914307	0.13414239883422852
7	distilbert/distilgpt2	0	" viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
8	distilbert/distilgpt2	0	"(from officer)"""	other	0.0	0.11675262451171875	6.020540714263916	5.903788089752197	0.11675262451171875
9	distilbert/distilgpt2	0	"delay)"""	other	0.0	0.0048141479492186945	0.2710407972335815	0.2662266492843628	0.0048141479492186945
10	distilbert/distilgpt2	0	drug	d1	0.3333333333333333	-0.09967179223895133	5.765632927417755	5.865304719656706	-0.09967179223895073
11	distilbert/distilgpt2	0	drug	d2	0.4	-0.059066873788833976	5.35224853605032	5.411315409839153	-0.05906687378883291
12	distilbert/distilgpt2	0	drug	d3	0.125	-0.030100376810878737	5.378431582823396	5.408531959634274	-0.030100376810878515
13	distilbert/distilgpt2	0	drug	d4	0.2	-0.05747862383723294	5.216976211965084	5.274454835802317	-0.057478623837232234
14	distilbert/distilgpt2	0	"felony or violent misdemeanor"""	other	0.0	0.1234273910522461	6.677619934082031	6.554192543029785	0.1234273910522461
15	distilbert/distilgpt2	0	homicide	m1	0.8	-0.14739617630839366	5.149876646697521	5.2972728230059145	-0.1473961763083933
16	distilbert/distilgpt2	0	homicide	m2	1.0	-0.17187313362956047	5.074592847377062	5.246465981006622	-0.17187313362956047
17	distilbert/distilgpt2	0	homicide	m3	0.0	0.001441262662409848	4.765993215143681	4.764551952481271	0.001441262662409848
18	distilbert/distilgpt2	0	homicide	m4	0.5	-0.0009625554084782273	4.706541856750846	4.707504412159324	-0.0009625554084777832
19	distilbert/distilgpt2	0	homicide	m5	0.0	0.010409174486994743	4.8827820885926485	4.872372914105654	0.010409174486994743
20	distilbert/distilgpt2	0	impeding	interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
21	distilbert/distilgpt2	0	other	m5	0.46153846153846156	-0.18117802948332778	7.689359071592872	7.8705371010761995	-0.18117802948332784
22	distilbert/distilgpt2	0	other	m7	0.0	0.0569330189377073	6.018555568531156	5.961622549593448	0.0569330189377073
23	distilbert/distilgpt2	0	other	m8	0.2727272727272727	0.009599300609393473	4.7057337036187	4.696134403009307	0.009599300609393069
24	distilbert/distilgpt2	0	other	m9	0.36363636363636365	-0.013841054656289003	5.470468321391805	5.484309376048094	-0.013841054656288598
25	distilbert/distilgpt2	0	property	m3	1.0	-0.013341782614588737	4.482698880136013	4.496040662750602	-0.013341782614588737
26	distilbert/distilgpt2	0	property	m5	1.0	-0.013341782614588737	4.482698880136013	4.496040662750602	-0.013341782614588737
27	distilbert/distilgpt2	0	property	m6	1.0	-0.006896212697029114	4.585192706435919	4.592088919132948	-0.006896212697029114
28	distilbert/distilgpt2	0	property	m7	0.6666666666666666	-0.0072453754643599195	4.665989023943742	4.673234399408102	-0.007245375464360215
29	distilbert/distilgpt2	0	property	m8	0.5384615384615384	0.0017141075088428982	5.003743949991006	5.002029842482163	0.0017141075088424884
30	distilbert/distilgpt2	0	property	m9	0.6666666666666666	-0.06994081495536698	5.221223134133551	5.291163949088918	-0.06994081495536708
31	distilbert/distilgpt2	0	sex	m2	0.25	-0.10980086214840368	5.294308263342828	5.404109125491232	-0.10980086214840412
32	distilbert/distilgpt2	0	sex	m3	0.0	0.004691619426012927	4.715475896373392	4.710784276947379	0.004691619426012927
33	distilbert/distilgpt2	0	sex	m4	0.0	0.13991689682006836	7.642212867736816	7.502295970916748	0.13991689682006836
34	distilbert/distilgpt2	0	sex	m5	0.2222222222222222	0.015181380634506445	5.038893594716986	5.0237122140824795	0.015181380634506247
35	distilbert/distilgpt2	0	sex	m6	0.14285714285714285	0.0030537857008836916	4.785918370421443	4.782864584720561	0.0030537857008825497
36	distilbert/distilgpt2	0	sex	m7	0.08333333333333333	0.06513464047263066	6.5340046378163	6.46886999734367	0.06513464047263007
37	distilbert/distilgpt2	0	sex	m8	0.2	-0.025438055396079927	5.413262187317014	5.438700242713094	-0.025438055396080017
38	distilbert/distilgpt2	0	sex	m9	0.5	-0.05712860822677612	5.5394066497683525	5.596535257995129	-0.05712860822677612
39	distilbert/distilgpt2	0	"viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
40	distilbert/distilgpt2	0	violent	m3	0.6	0.01158901154994929	5.490601743757725	5.479012732207775	0.01158901154994929
41	distilbert/distilgpt2	0	violent	m4	0.0	0.04790570835272442	5.57947438955307	5.531568681200345	0.04790570835272501
42	distilbert/distilgpt2	0	violent	m5	0.5384615384615384	0.016287429688068542	4.710210768935772	4.6939233392477036	0.0162874296880684
43	distilbert/distilgpt2	0	violent	m6	0.3333333333333333	0.03080883901566262	4.953239609901276	4.922430770885613	0.03080883901566267
44	distilbert/distilgpt2	0	violent	m7	0.5	0.0042119165882472664	5.0453694723546505	5.041157555766404	0.004211916588246822
45	distilbert/distilgpt2	0	violent	m8	0.375	-0.0406355616869406	5.339459404931404	5.380094966618344	-0.04063556168694049
46	distilbert/distilgpt2	0	violent	m9	1.0	-0.004800848662854129	4.738924592733383	4.743725441396237	-0.004800848662854129
47	distilbert/distilgpt2	0	weapon	m5	0.5	-0.19093104451894805	5.478113804012537	5.669044848531485	-0.1909310445189476
48	distilbert/distilgpt2	0	weapon	m6	1.0	-0.40644168853759766	7.993206024169922	8.39964771270752	-0.40644168853759766
49	distilbert/distilgpt2	0	weapon	m7	0.6	-0.21772985681891424	6.671642861515283	6.889372718334198	-0.21772985681891477
50	distilbert/distilgpt2	0	weapon	m8	0.5483870967741935	-0.14499562077464595	5.644045909566264	5.78904153034091	-0.14499562077464567
51	distilbert/distilgpt2	0	weapon	m9	0.5	-0.1694047451019287	6.982814788818359	7.152219533920288	-0.1694047451019287
52	distilbert/distilgpt2	10	" (from officer)"""	other	0.0	0.11675262451171875	6.020540714263916	5.903788089752197	0.11675262451171875
53	distilbert/distilgpt2	10	 damaging	 destroying	0.0	0.09688758850097656	6.33261775970459	6.235730171203613	0.09688758850097656
54	distilbert/distilgpt2	10	" delay)"""	other	0.0	0.0048141479492186945	0.2710407972335815	0.2662266492843628	0.0048141479492186945
55	distilbert/distilgpt2	10	 disturbed	" frightened & emotional distress"""	0.0	0.059813499450683594	6.626121520996094	6.56630802154541	0.059813499450683594
56	distilbert/distilgpt2	10	" felony or violent misdemeanor"""	other	0.0	0.1234273910522461	6.677619934082031	6.554192543029785	0.1234273910522461
57	distilbert/distilgpt2	10	 impeding	 interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
58	distilbert/distilgpt2	10	 threatening	" assaulting and kidnapping govt official family member"""	0.0	0.13414239883422852	6.244317054748535	6.110174655914307	0.13414239883422852
59	distilbert/distilgpt2	10	" viol of inoperable pistol emgncy act of 2008"""	weapon	0.0	0.08301734924316406	6.525770664215088	6.442753314971924	0.08301734924316406
60	distilbert/distilgpt2	10	"(from officer)"""	other	0.0	0.11675262451171875	6.020540714263916	5.903788089752197	0.11675262451171875
61	distilbert/distilgpt2	10	"delay)"""	other	0.0	0.0048141479492186945	0.2710407972335815	0.2662266492843628	0.0048141479492186945
62	distilbert/distilgpt2	10	drug	d1	0.3333333333333333	-0.07230428854624489	5.914784828821818	5.987089117368062	-0.07230428854624371
63	distilbert/distilgpt2	10	drug	d2	0.2	-0.019148015975952504	5.539147853851318	5.558295869827271	-0.019148015975952504
64	distilbert/distilgpt2	10	drug	d3	0.125	0.00895462930202473	5.667782709002495	5.65882807970047	0.008954629302024841
65	distilbert/distilgpt2	10	drug	d4	0.2	-0.01986703872680682	5.523531460762024	5.543398499488831	-0.019867038726806285
66	distilbert/distilgpt2	10	"felony or violent misdemeanor"""	other	0.0	0.1234273910522461	6.677619934082031	6.554192543029785	0.1234273910522461
67	distilbert/distilgpt2	10	homicide	m1	0.4	-0.12990014553070087	5.385384726524353	5.515284872055053	-0.1299001455307005
68	distilbert/distilgpt2	10	homicide	m2	0.5	-0.145668625831604	5.3755863308906555	5.5212549567222595	-0.145668625831604
69	distilbert/distilgpt2	10	homicide	m3	0.0	0.050269246101379395	4.938504576683044	4.888235330581665	0.050269246101379395
70	distilbert/distilgpt2	10	homicide	m4	0.0	0.04462164640426636	4.884266972541809	4.839645326137543	0.04462164640426636
71	distilbert/distilgpt2	10	homicide	m5	0.0	0.04988551139831543	4.991948962211609	4.9420634508132935	0.04988551139831543
72	distilbert/distilgpt2	10	impeding	interfering	0.0	0.11770009994506836	6.791513442993164	6.673813343048096	0.11770009994506836
73	distilbert/distilgpt2	10	other	m5	0.46153846153846156	-0.17000885995534779	7.748433327445617	7.918442187400965	-0.17000885995534798
